TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-04-05 11:42:00,1775389320170,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,8hvhk-1775389318993-aa89c16d3d9e,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:58,1775389318993,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,8hvhk-1775389318993-aa89c16d3d9e,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1123,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ67VS7SC757E4BYNSAHH8,,-1
2026-04-05 11:41:58,1775389318178,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,pw8ss-1775389317008-fa94beaca836,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:57,1775389317008,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,pw8ss-1775389317008-fa94beaca836,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1124,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ65XK2R9GGYEEDB7KQP9N,,-1
2026-04-05 11:41:56,1775389316859,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,sgj25-1775389315705-4a7b3bc59b92,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:55,1775389315705,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,sgj25-1775389315705-4a7b3bc59b92,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1100,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ64N40JA67P6J19FX99KZ,,-1
2026-04-05 11:41:54,1775389314613,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,zjlcm-1775389313342-0ca536ee9a8b,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:53,1775389313342,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/favicon.ico,GET,,500,zjlcm-1775389313342-0ca536ee9a8b,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1130,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ62E0KGM55DD77XN9GP8J,,-1
2026-04-05 11:41:53,1775389313204,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,94nv4-1775389312017-125e7a5d02f4,vercel-favicon/1.0,error,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,,,,,"Cannot find module '@/app.service'
Require stack:
- /var/task/src/app.controller.js
- /var/task/src/app.module.js
- /var/task/src/main.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,,,
2026-04-05 11:41:52,1775389312017,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app/,GET,,500,94nv4-1775389312017-125e7a5d02f4,vercel-favicon/1.0,,production,main,MISS,function,/,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,cto-backend-h8pckodxc-poliankiy-arturs-projects.vercel.app,dpl_6CJWH6HM9FHBQcp5Xdp49nzpya7m,1133,iad1,-1,2048,,prj_loW88v0MSGoLO3lwlVY3VqJBbVWU,,,01KNEQ611W2YMTDDYHTY9DQ3MT,,-1
